location_name,Location_Category_Description,LATITUDE,LONGITUDE
Frederick Douglass Academy VIII Middle School,Junior High-Intermediate-Middle,40.64664,-73.881997
Academy Of Career Exploration Of Sheepshead Bay,High school,40.593157,-73.936635
The Williamsburg High School of Art and Technology,High school,40.709765,-73.944463
Boys and Girls High School,High school,40.678478,-73.931604
Erasmus Campus - Science/Math,High school,40.6495,-73.9585
John Jay Hs,High school,40.6696,-73.9793
John Jay School for Law,High school,40.669255,-73.97858
Cyberarts Studio Academy,High school,40.669255,-73.97858
Park Slope Collegiate,Secondary School,40.669255,-73.97858
Kingsborough Early College School,Secondary School,40.593028,-73.986313
Erasmus Campus - Humanities,High school,40.6495,-73.9585
George W Wingate Hs,High school,40.6589,-73.9425
Williamsburg Charter High School,High school,40.703703,-73.935969
PROGRESS High School for Professional Careers,High school,40.711134,-73.938921
East Williamsburg Scholars Academy,High school,40.711134,-73.938921
